year,agg_capacity
1738,40
1739,0
1740,0
1741,0
1742,0
1743,0
1744,50
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,55
1753,55
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,65
1761,0
1762,65
1763,0
1764,0
1765,0
1766,83
1767,0
1768,0
1769,83
1770,0
1771,0
1772,191
1773,366
1774,290
1775,80
1776,215
1777,175
1778,0
1779,0
1780,0
1781,253
1782,253
1783,266
1784,786.5
1785,1080
1786,940
1787,400
1788,837
1789,1972
1790,1710
1791,1932
1792,5732.5
1793,6939.5
1794,5548
1795,5245
1796,4085
1797,6990.33332824707
1798,7439.33332824707
1799,6057.33332824707
1800,5011.33332824707
1801,5761.166656494141
1802,9308.83332824707
1803,10331.33332824707
1804,10662
1805,8123.33332824707
1806,11406.16665649414
1807,9085.666656494141
1808,10628.66665649414
1809,11662.66665649414
1810,11874.49998474121
1811,10375.66665649414
1812,8335.33332824707
1813,4764
1814,749.5
1815,9948.83332824707
1816,16186.83332824707
1817,21556.33331298828
1818,29957.58332824707
1819,38506.49998474121
1820,47976.49998474121
1821,60102.66667175293
1822,66837.33334350586
1823,63016.00001525879
1824,56083.83334350586
1825,53452.66667175293
1826,52504.33332824707
1827,63641.91668701172
1828,80096.91667938232
1829,85831.75000762939
1830,103202.4999923706
1831,121663.0833358765
1832,144387.9999923706
1833,165454.4999237061
1834,164445.9166183472
1835,171019.0832748413
1836,181687.2499313354
1837,181892.5832901001
1838,176653.2499465942
1839,184274.9999389648
1840,186955.6666030884
1841,212832.666557312
1842,211766.3332748413
1843,215254.9999313354
1844,233775.9999313354
1845,252315.1666030884
1846,238290.3332901001
1847,233890.5832748413
1848,217871.8332824707
1849,198839.4166183472
1850,189830.6666183472
1851,209175.0332870483
1852,216437.4499206543
1853,225638.1165618896
1854,219004.9499206543
1855,214691.6999282837
1856,216361.9499053955
1857,212808.3665618896
1858,197166.0332565308
1859,188088.6999053955
1860,171358.1165924072
1861,146962.1998901367
1862,115076.4499130249
1863,97593.44989013672
1864,84793.94992828369
1865,82372.69993591309
1866,80583.11661529541
1867,83567.78325653076
1868,81657.03327941895
1869,80474.44995880127
1870,76704.8666305542
1871,65977.19995880127
1872,50290.03326416016
1873,44090.11657714844
1874,40361.61659240723
1875,43087.81660461426
1876,46701.53327178955
1877,46332.8666305542
1878,46925.28330993652
1879,45180.0333404541
1880,43480.03332519531
1881,43310.6999130249
1882,37818.53324127197
1883,37505.36656188965
1884,34556.03325653076
1885,32891.94992828369
1886,30123.19994354248
1887,27469.31658935547
1888,27290.78330993652
1889,27845.78327941895
1890,22913.69995880127
1891,22019.11660766602
1892,22473.06661987305
1893,20472.78330230713
1894,18949.19999694824
1895,15439.36664581299
1896,15103.36663818359
1897,12991.78330230713
1898,11710.28330993652
1899,12009.53330993652
1900,10747.11663818359
1901,10484.94998168945
1902,9950.949981689453
1903,11569.78331756592
1904,10814.61664581299
1905,10717.11664581299
1906,10958.61664581299
1907,8757.783317565918
1908,9143.283309936523
1909,6509.449989318848
1910,7125.616645812988
1911,7248.866645812988
1912,6087.366645812988
1913,5238.866645812988
1914,4741.366645812988
1915,2692.199989318848
1916,3053.699989318848
1917,2205.866653442383
1918,2295.39998626709
1919,2386.199989318848
1920,2661.999992370605
