year,agg_incumbents
1760,1
1761,0
1762,0
1763,0
1764,0
1765,0
1766,1
1767,1
1768,1
1769,1
1770,0
1771,0
1772,0
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,1
1784,2
1785,3
1786,3
1787,3
1788,4
1789,5
1790,4
1791,5
1792,7
1793,6
1794,4
1795,4
1796,6
1797,8
1798,11
1799,9
1800,5
1801,6
1802,5
1803,7
1804,7
1805,4
1806,4
1807,3
1808,6
1809,6
1810,7
1811,6
1812,6
1813,5
1814,5
1815,6
1816,12
1817,23
1818,41
1819,58
1820,67
1821,70
1822,69
1823,56
1824,47
1825,49
1826,50
1827,63
1828,68
1829,83
1830,90
1831,95
1832,116
1833,148
1834,164
1835,183
1836,211
1837,240
1838,249
1839,264
1840,278
1841,308
1842,292
1843,292
1844,294
1845,305
1846,283
1847,273
1848,259
1849,245
1850,243
1851,252
1852,252
1853,247
1854,237
1855,226
1856,232
1857,235
1858,218
1859,212
1860,200
1861,186
1862,164
1863,147
1864,121
1865,112
1866,116
1867,116
1868,111
1869,113
1870,103
1871,91
1872,78
1873,71
1874,61
1875,59
1876,59
1877,61
1878,64
1879,65
1880,61
1881,60
1882,53
1883,54
1884,49
1885,45
1886,44
1887,37
1888,35
1889,39
1890,35
1891,35
1892,35
1893,30
1894,30
1895,24
1896,23
1897,24
1898,22
1899,24
1900,22
1901,21
1902,21
1903,22
1904,21
1905,20
1906,19
1907,18
1908,18
1909,18
1910,21
1911,21
1912,19
1913,18
1914,17
1915,15
1916,13
1917,11
1918,11
1919,11
1920,9
